name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1392,175204418,,,,,,,-114.6265238,35.101929,,,
,1393,175204444,,,,,,,-114.6284653,35.0981236,,,
,1394,175204454,,,,,,,-114.6277296,35.1001019,,,
,1395,6992549162,,,,,,,-114.6277355,35.1007143,,,
,1396,175204460,,,,,,,-114.6277448,35.1012996,,,
,1397,175204472,,,,,,,-114.6271632,35.1040667,,,
,1398,175204745,,,,,,,-114.5524134,35.1820066,,,
,1399,175204747,,,,,,,-114.5524144,35.1801352,,,
,1400,175204749,,,,,,,-114.5524095,35.1783593,,,
,1401,175204751,turning_circle,,,,,,-114.5523981,35.1770456,,,
,1402,175204936,,,,,,,-114.6364724,35.0971205,,,
,1403,6992522305,,,,,,,-114.6380489,35.0972266,,,
,1404,175204941,,,,,,,-114.6381166,35.097175,,,
,1405,175206691,,,,,,,-114.638378,35.0983421,,,
,1406,6992522310,,,,,,,-114.6391092,35.0980431,,,
,1407,175206694,,,,,,,-114.6392128,35.0980007,,,
,1408,175206986,,,,,,,-114.5699088,35.1063957,,,
,1409,175206992,,,,,,,-114.571657,35.1063077,,,
,1410,175084014,,,,,,,-114.6185676,35.1026863,,,
,1411,6992618645,,,,,,,-114.6186492,35.1027829,,,
,1412,175207078,turning_circle,,,,,,-114.6140252,35.095236,,,
,1413,175207087,,,,,,,-114.6144374,35.0960238,,,
,1414,175207102,,,,,,,-114.5484649,35.1771423,,,
